State,Value
 OO OX XX,1.0
 OO OXX X,1.0
 OO OXXX ,1.0
 OO OXXXX,1.0
 OO X   X,1.0
 OO X  X ,0.0
 OO X  XX,-1.0
 OO X OXX,1.0
 OO X X  ,1.0
 OO X X X,-1.0
 OO X XOX,1.0
 OO X XX ,-1.0
 OO X XXO,-1.0
 OO XO XX,1.0
 OO XOX X,1.0
 OO XOXX ,0.0
 OO XOXXX,1.0
 OO XX   ,1.0
 OO XX  X,-1.0
 OO XX OX,1.0
 OO XX X ,-1.0
 OO XX XO,1.0
 OO XXO X,1.0
 OO XXOX ,1.0
 OO XXOXX,-1.0
 OO XXX  ,-1.0
 OO XXX O,1.0
 OO XXXO ,1.0
 OO XXXOX,-1.0
 OO XXXXO,-1.0
 OOO X XX,1.0
 OOO XX X,1.0
 OOO XXX ,1.0
 OOO XXXX,1.0
 OOOX  XX,1.0
 OOOX X X,1.0
 OOOX XX ,0.0
 OOOX XXX,1.0
 OOOXX  X,1.0
 OOOXX X ,0.0
 OOOXX XX,-1.0
 OOOXXOXX,1.0
 OOOXXX  ,0.0
 OOOXXX X,-1.0
 OOOXXXOX,1.0
 OOOXXXX ,-1.0
 OOOXXXXO,0.0
 OOX    X,1.0
 OOX   X ,1.0
 OOX   XX,-1.0
 OOX  OXX,-1.0
 OOX  X  ,1.0
 OOX  X X,-1.0
 OOX  XOX,1.0
 OOX  XX ,-1.0
 OOX  XXO,1.0
 OOX O XX,1.0
 OOX OX X,1.0
 OOX OXX ,1.0
 OOX OXXX,1.0
 OOX X   ,1.0
 OOX X  X,-1.0
 OOX X OX,0.0
 OOX X X ,-1.0
 OOX X XO,1.0
 OOX XO X,1.0
 OOX XOX ,1.0
 OOX XOXX,-1.0
 OOX XX  ,-1.0
 OOX XX O,1.0
 OOX XXO ,1.0
 OOX XXOX,-1.0
 OOX XXXO,0.0
 OOXO  XX,1.0
 OOXO X X,1.0
 OOXO XX ,1.0
 OOXO XXX,1.0
 OOXOX X ,0.0
 OOXOX XX,-1.0
 OOXOXOXX,-1.0
 OOXOXX  ,1.0
 OOXOXX X,-1.0
 OOXOXXOX,-1.0
 OOXOXXXO,0.0
 OOXX    ,1.0
 OOXX   X,-1.0
 OOXX  OX,0.0
 OOXX  X ,-1.0
 OOXX  XO,1.0
 OOXX O X,1.0
 OOXX OX ,1.0
 OOXX OXX,-1.0
 OOXX X  ,-1.0
 OOXX X O,1.0
 OOXX XO ,1.0
 OOXX XOX,-1.0
 OOXX XXO,-1.0
 OOXXO  X,1.0
 OOXXO X ,-1.0
 OOXXO XX,-1.0
 OOXXOOXX,1.0
 OOXXOX  ,0.0
 OOXXOX X,-1.0
 OOXXOXOX,1.0
 OOXXOXX ,-1.0
 OOXXOXXO,-1.0
 OOXXX   ,1.0
 OOXXX XO,1.0
 OOXXXO X,1.0
 OOXXXOX ,1.0
 OOXXXX O,1.0
 OOXXXXO ,1.0
 OX      ,1.0
 OX     X,1.0
 OX    OX,1.0
 OX    X ,0.0
 OX    XO,0.0
 OX   O X,1.0
 OX   OX ,0.0
 OX   OXX,0.0
 OX   X  ,0.0
 OX   X O,1.0
 OX   XO ,1.0
 OX   XOX,0.0
 OX   XXO,0.0
 OX  O  X,1.0
 OX  O X ,1.0
 OX  O XX,0.0
 OX  OOXX,0.0
 OX  OX  ,1.0
 OX  OX X,1.0
 OX  OXOX,1.0
 OX  OXX ,1.0
 OX  OXXO,1.0
 OX  X   ,0.0
 OX  X  O,1.0
 OX  X O ,1.0
 OX  X OX,1.0
 OX  X XO,0.0
 OX  XO  ,1.0
 OX  XO X,1.0
 OX  XOX ,0.0
 OX  XOXO,0.0
 OX  XX O,-1.0
 OX  XXO ,-1.0
 OX  XXOO,1.0
 OX O   X,1.0
 OX O  X ,1.0
 OX O  XX,1.0
 OX O OXX,1.0
 OX O X  ,0.0
 OX O X X,-1.0
 OX O XOX,-1.0
 OX O XX ,0.0
 OX O XXO,0.0
 OX OO XX,1.0
 OX OOX X,1.0
 OX OOXX ,1.0
 OX OOXXX,1.0
 OX OX   ,1.0
 OX OX  X,1.0
 OX OX X ,0.0
 OX OX XO,0.0
 OX OXOX ,1.0
 OX OXOXX,1.0
 OX OXX  ,-1.0
 OX OXX O,-1.0
 OX OXXO ,-1.0
 OX OXXXO,-1.0
 OX X    ,1.0
 OX X   O,1.0
 OX X  O ,1.0
 OX X  OX,1.0
 OX X  XO,0.0
 OX X O  ,1.0
 OX X O X,1.0
 OX X OOX,1.0
 OX X OX ,0.0
 OX X OXO,0.0
 OX X X O,1.0
 OX X XO ,1.0
 OX XO   ,1.0
 OX XO  X,0.0
 OX XO OX,1.0
 OX XO X ,0.0
 OX XO XO,1.0
 OX XOO X,1.0
 OX XOOX ,0.0
 OX XOOXX,0.0
 OX XOX  ,1.0
 OX XOXOX,1.0
 OX XOXXO,1.0
 OX XX  O,1.0
 OX XX OO,1.0
 OX XXO  ,0.0
 OX XXO O,1.0
 OX XXOO ,1.0
 OX XXOOX,1.0
 OX XXOXO,0.0
 OX XXXOO,1.0
 OXO    X,1.0
 OXO   X ,1.0
 OXO   XX,1.0
 OXO  OXX,1.0
 OXO  X  ,1.0
 OXO  X X,0.0
 OXO  XX ,0.0
 OXO  XXO,1.0
 OXO O XX,1.0
 OXO OX X,1.0
 OXO OXX ,1.0
 OXO OXXX,1.0
 OXO X   ,1.0
 OXO X  X,1.0
 OXO X X ,0.0
 OXO X XO,0.0
 OXO XOX ,1.0
 OXO XOXX,1.0
 OXO XX  ,1.0
 OXO XX O,1.0
 OXO XXO ,1.0
 OXO XXOX,1.0
 OXO XXXO,0.0
 OXOO  XX,1.0
 OXOO X X,1.0
 OXOO XX ,1.0
 OXOO XXX,1.0
 OXOOX X ,1.0
 OXOOX XX,1.0
 OXOOXX  ,1.0
 OXOOXX X,1.0
 OXOOXXX ,0.0
 OXOOXXXO,0.0
 OXOX    ,1.0
 OXOX   X,1.0
 OXOX  OX,1.0
 OXOX  X ,0.0
 OXOX  XO,1.0
 OXOX O X,1.0
 OXOX OX ,0.0
 OXOX OXX,-1.0
 OXOX X  ,1.0
 OXOX XOX,1.0
 OXOX XXO,1.0
 OXOXO  X,1.0
